NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
Last Seen Alive,,2022,R,1h 35m,5.6/10,8K,200,Action,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,Brian Goodman,Marc Frydman,Jaimie Alexander,,
Thor: God of Thunder,,2022,Null,Null,2.4/10,87,676,Action,"Thor's villainous uncle Loki has escaped Asgard to search for Yggdrasil - The Tree of the Nine Realms. The tree holds the power of the Universe and is hidden away on Earth. With the help of giant wolf god Fenrir, Loki plans to destroy the tree and replant it in his image, giving him dominion over all. Now Thor must follow Loki to Earth to wage an epic battle that will... Read all",Noah Luke,Null,Null,,
Doragon boru supa supa hiro,,2022,Null,Null,7.2/10,1.1K,239,Animation,The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.,Tetsuro Kodama,Null,Null,,
Đặc Vụ 355,The 355,2022,PG-13,2h 2m,5.4/10,25K,230,Action,"When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",Simon Kinberg,Theresa Rebeck,Jessica Chastain,405,177 40
Khuda Haafiz Chapter II: Agni Pariksha,,2022,Null,Null,8.8/10,8.5K,293,Action,"Sameer and Nargis, after overcoming all odds, find a ray of sunshine when little Nandini enters their lives and their family is complete; But their happiness is short-lived. In a bizarre twist of fate, Nandini goes missing.",Faruk Kabir,Null,Null,,
Sát Thủ John Wick: Chương 4,John Wick: Chapter 4,2023,Null,Null,,,66,Action,,Chad Stahelski,Null,Null,,
Prey,,2022,R,1h 39m,7.8/10,53,64,Action,"The origin story of the Predator in the world of the Comanche Nation 300 years ago. Naru, a skilled female warrior, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.",Dan Trachtenberg,Patrick Aison,Dane DiLiegro,,
Vệ Binh Dải Ngân Hà 3,Guardians of the Galaxy Vol. 3,2023,Null,Null,,,416,Action,Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.,James Gunn,Null,Null,,
Code Name Banshee,,2022,Null,Null,3.4/10,877,923,Action,"Caleb, a former government assassin in hiding, who resurfaces when his protégé, the equally deadly killer known as Banshee, discovers a bounty has been placed on Caleb's head.",Jon Keeyes,Null,Null,,
Operation Fortune: Ruse de guerre,,2022,Null,Null,6.8/10,373,347,Action,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,Null,Null,,
Quái Vật Biển Khơi,The Sea Beast,2022,P,1h 55m,7.1/10,19K,11,Animation,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",Chris Williams,Chris Williams,Mattson Tomlin,170,66 74
Minions 2: Sự Trỗi Dậy Của Gru,Minions: The Rise of Gru,2022,P,1h 27m,6.9/10,25K,14,Animation,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,Kyle Balda,Brad Ableson,Matthew Fogel,442,115 56
Barbie,,2023,Null,Null,,,17,Adventure,A live-action film based on the popular 'Barbie' franchise.,Greta Gerwig,Null,Null,,
The Bob's Burgers Movie,,2022,PG-13,1h 42m,7.1/10,11K,44,Animation,"The Belchers try to save the restaurant from closing as a sinkhole forms in front of it, while the kids try to solve a mystery that could save their family's restaurant.",Loren Bouchard,Bernard Derriman,Nora Smith,194,89 75
Những Kẻ Xấu Xa,The Bad Guys,2022,P,1h 40m,6.8/10,28K,56,Animation,"Several reformed yet misunderstood criminal animals attempt to become good, with some disastrous results along the way.",Pierre Perifel,Aaron Blabey,Yoni Brenner,242,129 64
Thời Vận,Luck,2022,G,1h 37m,,,255,Animation,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.,Peggy Holmes,Kiel Murray,Glenn Berger,,
Chip 'n Dale: Rescue Rangers,,2022,PG,1h 37m,7.0/10,34K,212,Animation,"Thirty years after their popular television show ended, chipmunks Chip and Dale live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save their friend.",Akiva Schaffer,Dan Gregor,Andy Samberg,285,115 66
Gấu Đỏ Biến Hình,Turning Red,2022,P,1h 40m,7.0/10,107K,257,Animation,A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.,Domee Shi,Domee Shi,Sarah Streicher,1K,214 83
777 Charlie,,2022,Null,Null,9.1/10,13K,514,Adventure,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Kiranraj K,Null,Null,,
Nhiệm Vụ Bất Khả Thi: Nghiệp Báo - Phần Một,Mission: Impossible - Dead Reckoning - Part One,2023,Null,Null,,,351,Action,Seventh entry in the long-running Mission: Impossible series.,Christopher McQuarrie,Null,Null,,
Beast,,2022,Null,Null,,,269,Adventure,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,Baltasar Kormákur,Null,Null,,
Hành Tinh Cát 2,Dune: Part Two,2023,Null,Null,,,238,Action,"Duke Paul Atreides joins the Fremen and begins a spiritual and martial journey to become Muad'dib, while trying to prevent the terrible future he's witnessed: a Holy War in his name, spreading throughout the known universe.",Denis Villeneuve,Null,Null,,
The Railway Children Return,,2022,Null,Null,5.7/10,265,322,Adventure,"Follow a group of children who are evacuated to a Yorkshire village during the Second World War, where they encounter a young soldier who, like them, is far away from home.",Morgan Matthews,Null,Null,22,12 51
Shazam! Cơn Thịnh Nộ Của Các Vị Thần,Shazam! Fury of the Gods,2022,Null,Null,,,662,Action,Sequel to the 2019 film 'Shazam!'. Plot details are not yet known.,David F. Sandberg,Null,Null,,
Nàng Tiên Cá,The Little Mermaid,2023,Null,Null,,,412,Adventure,A live-action remake of the animated Disney classic.,Rob Marshall,Null,Null,,
Beavis and Butt-Head Do the Universe,,2022,TV-14,1h 27m,7.0/10,7.8K,371,Animation,"After a ""creative"" judge sentences them to space camp, a black hole sends our adolescent heroes 24 years into the modern future where the duo misuse iPhones, embark on a quest to score, and become targets of the Deep State.",Albert Calleros,John Rice,Lewis Morton,135,19 70
Chuyện Thần Tiên Ở New York 2,Disenchanted,2022,Null,Null,,,774,Animation,"Ten years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.",Adam Shankman,Null,Null,,
